Vertices,Density,MyImplementation,CI w 0.95,BW,CI w 0.95,ARMPL,CI w 0.95,BW,CI w 0.95
4096,0.9,43.1094,0.0988848,1.43322e+07,32148.7,30.7337,0.152843,2.03913e+07,2421.72
4096,1,44.7604,0.0864277,1.52801e+07,29248.8,31.3812,0.104443,2.17984e+07,68851.1
4096,1.1,46.5627,0.0889734,1.61163e+07,30483,31.667,0.0794928,2.36988e+07,58840.8
4096,1.2,48.4522,0.132067,1.68634e+07,43684.9,32.5743,0.078,2.50823e+07,58931.8
4096,1.3,50.246,0.437029,1.7598e+07,110095,33.5179,0.103737,2.6351e+07,78560.4
4096,1.4,51.6039,0.0945134,1.84025e+07,33032.4,33.8834,0.118087,2.80326e+07,92931.5
4096,1.5,54.0312,0.707184,1.90531e+07,11360,34.1157,0.128125,2.97772e+07,101958
4096,1.6,55.1961,0.106875,1.95993e+07,36954.5,35.2006,0.106212,3.07366e+07,89525.5
4096,1.7,56.7566,0.0955211,2.02252e+07,33312.9,35.3259,0.146056,3.25052e+07,120789
4096,1.8,58.6382,0.239296,2.07015e+07,73534.1,35.5315,0.101946,3.41583e+07,94626
4096,1.9,59.9566,0.113681,2.13419e+07,39493.3,35.9666,0.0902164,3.55795e+07,87484.6
4096,2,61.6958,0.124302,2.18107e+07,42691.2,36.5699,0.449249,3.68832e+07,296163
4096,2.1,63.1282,0.112882,2.23521e+07,38596.2,36.4772,0.0838567,3.86851e+07,87223
4096,2.2,64.8161,0.15854,2.27829e+07,53396.1,37.7332,0.209931,3.96964e+07,7042.25
4096,2.3,66.5352,0.0907166,2.31834e+07,31274.6,37.815,0.446499,4.0883e+07,318388
4096,2.4,68.2617,0.111474,2.35485e+07,37904.7,38.2013,0.136316,4.20884e+07,139394
4096,2.5,70.1803,0.136424,2.3842e+07,45182.6,38.7702,0.106063,4.31616e+07,115276
4096,2.6,71.6949,0.102985,2.4253e+07,34365.3,39.3461,0.104139,4.41981e+07,114052
4096,2.7,73.663,0.137755,2.44889e+07,44386.8,40.2768,0.0928701,4.47902e+07,101634
4096,2.8,77.4295,0.745053,2.48337e+07,8059.64,41.1522,0.0908943,4.54279e+07,98761.1
4096,2.9,81.6482,1.37643,2.51428e+07,11043.4,41.6401,0.123782,4.64641e+07,128646
4096,3,78.4608,0.138351,2.54879e+07,43844.7,42.3535,0.09914,4.72197e+07,108081
8192,0.1,36.14,0.114545,8.33275e+06,25407.8,29.2904,0.0926543,1.02814e+07,31441.3
8192,0.2,43.5259,0.107619,1.30772e+07,31578.6,32.071,0.0931609,1.7749e+07,49756.9
8192,0.3,49.7648,0.100321,1.68177e+07,33102.1,33.9958,0.100312,2.46215e+07,70769.6
8192,0.4,56.8636,0.246724,1.94283e+07,72496.8,36.5559,0.11118,3.02156e+07,88373.4
8192,0.5,63.9321,0.105873,2.1455e+07,34874,39.1034,0.0915464,3.50802e+07,80811.5
8192,0.6,70.7496,0.146473,2.31627e+07,46020.1,41.4952,0.101941,3.94944e+07,94892.8
8192,0.7,77.975,0.14,2.44363e+07,42890.6,43.6061,0.104339,4.36988e+07,100726
8192,0.8,84.449,0.126407,2.5716e+07,37552.2,46.0301,0.0984601,4.71825e+07,98652.9
8192,0.9,92.0136,1.32541,2.65727e+07,226233,48.4775,0.093573,5.02863e+07,95649.4
8192,1,99.6748,0.575815,2.71471e+07,133022,50.5613,0.0854697,5.34826e+07,89325.8
8192,1.1,106.188,0.442654,2.79752e+07,100395,52.5503,0.0971305,5.6513e+07,102603
8192,1.2,114.208,0.887383,2.87331e+07,15645.8,54.3283,0.0770415,5.95453e+07,84164.7
8192,1.3,119.541,0.115312,2.92795e+07,28026.7,56.6148,0.0956917,6.18262e+07,102720
8192,1.4,127.024,0.700974,2.96535e+07,130833,59.3291,0.157543,6.34601e+07,159121
8192,1.5,135.759,1.23199,3.00997e+07,17925.1,62.1517,0.0676848,6.48283e+07,70401.4
8192,1.6,140.259,0.166776,3.06074e+07,35777.4,64.6555,0.0980312,6.63988e+07,98895.9
8192,1.7,149.876,1.40198,3.08692e+07,22235.5,68.7864,0.151728,6.62689e+07,140720
8192,1.8,154.573,0.822721,3.12004e+07,132709,70.712,0.0948295,6.81668e+07,89805.1
8192,1.9,161.139,0.143243,3.15601e+07,27861.5,74.0367,0.233007,6.87035e+07,192818
8192,2,168.274,0.152139,3.17804e+07,28439,77.0263,0.767013,7.04512e+07,29665.4
8192,2.1,174.913,0.13353,3.20795e+07,24382.7,77.4522,0.130052,7.24501e+07,119286
8192,2.2,181.75,0.125898,3.23209e+07,22264.7,80.1756,0.0924704,7.32696e+07,83505.8
8192,2.3,188.842,0.19866,3.24978e+07,33365.6,79.5199,0.0843562,7.71752e+07,80940.7
8192,2.4,195.433,0.300207,3.27393e+07,48546.3,84.0076,0.1114,7.6163e+07,99197.4
8192,2.5,205.504,1.7171,3.28525e+07,23184.7,86.3068,0.109199,7.71773e+07,96352.5
8192,2.6,210.546,0.875269,3.28872e+07,123054,89.5607,0.585776,7.83993e+07,21287.3
8192,2.7,216.426,0.146298,3.31968e+07,22318.1,91.7172,0.618043,7.949e+07,22233.4
8192,2.8,223.428,0.305299,3.33189e+07,43971.8,92.2492,0.268574,8.07105e+07,215754
8192,2.9,231.422,1.46045,3.33252e+07,169070,93.7648,0.100088,8.21866e+07,87042.4
8192,3,237.483,0.78491,3.3554e+07,98893.4,95.159,0.0831457,8.372e+07,72886.6
16384,0.1,63.1939,0.143103,1.80213e+07,39458.4,47.6258,0.0834119,2.39111e+07,41518.3
16384,0.2,91.7541,0.158129,2.40956e+07,40604.4,62.1032,0.154332,3.56027e+07,85069.1
16384,0.3,119.765,1.36368,2.74624e+07,202086,76.4289,0.110212,4.29455e+07,60928.3
16384,0.4,146.845,0.160805,2.96377e+07,32056.2,90.9292,0.102172,4.78631e+07,53382.4
16384,0.5,175.489,0.158901,3.08915e+07,27722.2,104.04,0.116881,5.21069e+07,57978.7
16384,0.6,203.623,0.129452,3.18649e+07,20178.7,114.011,0.176139,5.69133e+07,85545
16384,0.7,232.243,0.142401,3.25338e+07,19874.5,125.432,0.13292,6.02389e+07,62874.7
16384,0.8,260.198,0.154282,3.31325e+07,19574.6,136.249,0.298409,6.32804e+07,129577
16384,0.9,289.34,0.212114,3.34755e+07,24400.6,190.465,1.64036,5.15451e+07,31721.2
16384,1,317.929,0.269469,3.38113e+07,28408.9,286.35,0.55268,3.75427e+07,67041.1
16384,1.1,347.465,0.375395,3.39986e+07,35878,252.028,0.308249,4.68735e+07,56162.3
