Vertices,Density,MKL,MKL_BW,MULTIROW,MULTIROW_BW,ELLPACK,ELLPACK_BW,TRANSPOSED_ELLPACK,TRANSPOSED_ELLPACK_BW
8192,0.3,0.0323841,0.0278632,0.030732,0.0293611,0.0411805,0.0373986,0.041198,0.0373828
8192,0.4,0.0354453,0.033005,0.0353718,0.0330736,0.0442346,0.0444467,0.0444238,0.0442573
8192,0.5,0.0387487,0.037085,0.039946,0.0359734,0.0499637,0.0452527,0.0507588,0.0445438
8192,0.6,0.0409069,0.0416512,0.0447476,0.0380764,0.0572533,0.0452144,0.056828,0.0455527
8192,0.7,0.0436309,0.0451694,0.0495625,0.0397636,0.0488602,0.0596877,0.0536162,0.0543931
8192,0.8,0.0466232,0.0479769,0.0542467,0.0412345,0.048762,0.0671998,0.0494723,0.066235
8192,0.9,0.0492476,0.0508307,0.0587797,0.0425876,0.0746185,0.0518186,0.0641428,0.0602815
8192,1,0.0521918,0.0530591,0.0632513,0.0437817,0.0812752,0.0491872,0.0867224,0.0460976
8192,1.1,0.0547244,0.0554604,0.0677763,0.0447802,0.0818779,0.0516265,0.0807394,0.0523545
8192,1.2,0.0574143,0.0574812,0.0724936,0.0455246,0.0968092,0.0480642,0.0981902,0.0473882
8192,1.3,0.0605923,0.0588396,0.0771,0.0462416,0.100001,0.047513,0.0972257,0.0488694
8192,1.4,0.0634037,0.0604165,0.08155,0.0469728,0.106851,0.0515204,0.110607,0.0497708
8192,1.5,0.0660644,0.0619863,0.0862253,0.0474929,0.074267,0.074566,0.0729461,0.0759163
8192,1.6,0.0686165,0.0635201,0.0906291,0.0480919,0.107737,0.0565714,0.116203,0.05245
8192,1.7,0.0712365,0.0648988,0.0950193,0.0486551,0.113109,0.052436,0.115215,0.0514775
8192,1.8,0.0747401,0.0653844,0.100325,0.0487099,0.105716,0.0595128,0.115441,0.0544991
8192,1.9,0.0779892,0.0660359,0.107032,0.0481174,0.124996,0.053217,0.12996,0.0511841
8192,2,0.0813799,0.0665213,0.111917,0.0483705,0.131729,0.0539792,0.131749,0.0539714
8192,2.1,0.0837794,0.0677623,0.116462,0.0487463,0.133233,0.0541081,0.139492,0.05168
8192,2.2,0.0866146,0.0685706,0.119889,0.0495394,0.140817,0.0532882,0.144512,0.0519256
8192,2.3,0.0910742,0.0680926,0.124852,0.0496708,0.15298,0.0514074,0.150421,0.052282
8192,2.4,0.0929317,0.0695497,0.131402,0.0491878,0.160155,0.052378,0.112663,0.0744577
8192,2.5,0.096216,0.0698971,0.134757,0.0499064,0.169219,0.0511216,0.177961,0.0486104
8192,2.6,0.0989895,0.0705985,0.13853,0.0504475,0.155286,0.0573968,0.189684,0.0469882
8192,2.7,0.10191,0.0711438,0.142775,0.0507809,0.157988,0.0595262,0.202684,0.0463994
8192,2.8,0.105253,0.0713597,0.148164,0.0506926,0.20539,0.0470644,0.221635,0.0436147
8192,2.9,0.108813,0.0714227,0.156602,0.0496271,0.1953,0.0498314,0.202038,0.0481697
8192,3,0.113216,0.0709344,0.162394,0.0494534,0.217018,0.0457506,0.235403,0.0421774
16384,0.1,0.0460383,0.0275825,0.0435592,0.0291523,0.0495243,0.0476392,0.0496806,0.0474893
16384,0.2,0.0597873,0.0391721,0.0629493,0.0372045,0.0664864,0.0591423,0.0671809,0.0585309
16384,0.3,0.0740471,0.0460918,0.083172,0.0410349,0.0815284,0.0675228,0.0822648,0.0669184
16384,0.4,0.0876546,0.0511433,0.103325,0.0433869,0.0967271,0.0697861,0.0980284,0.0688597
16384,0.5,0.101575,0.0546581,0.124836,0.0444735,0.146832,0.0562381,0.132963,0.0621038
16384,0.6,0.116393,0.0568764,0.145446,0.0455151,0.158372,0.0583473,0.168087,0.0549748
16384,0.7,0.155073,0.0495672,0.171534,0.0448106,0.239149,0.0474086,0.265665,0.0426768
16384,0.8,0.198306,0.0441326,0.199335,0.0439049,0.265899,0.0455969,0.288059,0.0420891
16384,0.9,0.21056,0.0466229,0.219145,0.0447964,0.298371,0.0443685,0.320085,0.0413587
16384,1,0.227264,0.0478741,0.252441,0.0430995,0.339869,0.042422,0.358281,0.0402419
16384,1.1,0.229876,0.0519545,0.275505,0.0433499,0.381177,0.0412634,0.396948,0.039624
16384,1.2,0.285215,0.0455972,0.301111,0.04319,0.42054,0.0397386,0.426866,0.0391497
16384,1.3,0.326441,0.0430842,0.335223,0.0419555,0.45995,0.038471,0.471471,0.0375309
16384,1.4,0.317461,0.0476373,0.374795,0.0403501,0.499104,0.0376852,0.512527,0.0366982
16384,1.5,0.372316,0.0434621,0.406028,0.0398535,0.549629,0.0367249,0.561097,0.0359743
16384,1.6,0.406434,0.0424165,0.480038,0.0359127,0.608307,0.0350139,0.611343,0.03484
16384,1.7,0.446494,0.0409766,0.540782,0.0338321,0.672482,0.0340114,0.680511,0.0336101
16384,1.8,0.489383,0.0395419,0.591988,0.0326884,0.714294,0.0334885,0.72216,0.0331238
16384,1.9,0.52505,0.0388644,0.63823,0.0319724,0.766046,0.0328516,0.765913,0.0328573
16384,2,0.581006,0.0369373,0.702846,0.0305341,0.789872,0.0326903,0.802051,0.0321939
16384,2.1,0.62079,0.0362601,0.746449,0.030156,0.864201,0.0318504,0.857363,0.0321044
16384,2.2,0.641498,0.0367299,0.770077,0.0305972,0.893779,0.0318229,0.899929,0.0316054
16384,2.3,0.67485,0.036467,0.808641,0.0304335,0.937653,0.0313822,0.936274,0.0314285
16384,2.4,0.719098,0.0356836,0.858647,0.0298842,1.01309,0.0306627,1.01916,0.0304801
16384,2.5,0.767272,0.0348094,0.903295,0.0295676,1.08588,0.030418,1.07877,0.0306185
16384,2.6,0.796304,0.0348516,0.939151,0.0295506,1.07894,0.0305528,1.06604,0.0309226
16384,2.7,0.829273,0.0347291,0.974275,0.0295603,1.11344,0.0303125,1.11275,0.0303311
16384,2.8,0.876005,0.0340679,1.02365,0.0291543,1.13134,0.0309914,1.15478,0.0303624
16384,2.9,0.902086,0.0342397,1.0466,0.029512,1.19463,0.030666,1.19673,0.0306122
16384,3,0.947282,0.033708,1.09109,0.0292651,1.23547,0.0306072,1.24226,0.0304399
