Vertices,Density,MyImplementation,CI w 0.95,BW,CI w 0.95
32768,1.1,1809.46,44.3292,2.62515e+07,336452
32768,1.2,1981.41,41.103,2.6088e+07,218876
32768,1.3,2138.79,44.7796,2.61637e+07,222210
32768,1.4,2275.41,53.8955,2.64787e+07,274576
32768,1.5,2453.99,60.4425,2.62926e+07,290818
32768,1.6,2651.98,56.6273,2.60142e+07,283842
32768,1.7,2769.88,60.8866,2.63381e+07,277796
32768,1.8,2925.33,61.179,2.6378e+07,271504
32768,1.9,3119.09,71.9288,2.61702e+07,313354
32768,2,3278.3,78.2943,2.61987e+07,333079
32768,2.1,3433.58,84.3288,2.62493e+07,351217
32768,2.2,3588.27,83.9879,2.6284e+07,342454
32768,2.3,3725.4,59.2694,2.63421e+07,234746
32768,2.4,3887.43,83.1474,2.64103e+07,326814
32768,2.5,4053.58,72.6147,2.63265e+07,300134
32768,2.6,4201.4,72.2349,2.63934e+07,293276
32768,2.7,4351.84,82.1909,2.64641e+07,303060
32768,2.8,4520.8,81.1215,2.63933e+07,292907
32768,2.9,4664.19,81.1886,2.64752e+07,288391
32768,3,4846.74,98.5324,2.63921e+07,344081
65536,0.1,743.215,11.3778,2.3704e+07,115652
65536,0.2,1422.21,28.6127,2.44996e+07,229024
65536,0.3,2103.01,61.3747,2.49069e+07,300833
65536,0.4,2732.24,61.5236,2.53516e+07,274444
65536,0.5,3401.45,83.6647,2.54804e+07,336583
65536,0.6,4054.58,84.4845,2.55735e+07,310499
65536,0.7,4696.58,81.6232,2.56945e+07,280434
65536,0.8,5351.5,99.8533,2.57778e+07,318620
65536,0.9,6080.16,42.3166,2.56807e+07,68032.3
65536,1,6690.52,114.392,2.57243e+07,313814
65536,1.1,7314.39,97.664,2.58155e+07,252014
65536,1.2,7956.03,109.787,2.58835e+07,269732
65536,1.3,8601.71,106.874,2.59044e+07,249367
65536,1.4,9255.94,105.397,2.58991e+07,232653
65536,1.5,9887.98,99.2048,2.59471e+07,211234
65536,1.6,10569.2,120.518,2.58942e+07,238825
65536,1.7,11234.8,125.268,2.58667e+07,238926
65536,1.8,11811.7,122.784,2.60274e+07,227207
65536,1.9,12744.5,165.406,2.57351e+07,191448
65536,2,13052.9,116.013,2.61263e+07,199483
65536,2.1,13810.5,128.372,2.59187e+07,208196
65536,2.2,14407,117.143,2.60043e+07,186122
65536,2.3,14682.8,127.894,2.66665e+07,202157
65536,2.4,15708.4,119.651,2.59864e+07,177264
65536,2.5,11644,128.362,3.65441e+07,335022
65536,2.6,10883.8,120.301,4.06371e+07,365456
65536,2.7,11252,122.592,4.07953e+07,362694
65536,2.8,12151.8,131.21,3.91535e+07,352034
65536,2.9,12474.9,120.442,3.94629e+07,323711
65536,3,12797.7,125.535,3.97768e+07,330207
