Vertices,Density,SVE,SVE_BW,ARMPL,ARMPL_BW
16384,0.1,0.0874364,1.45233e+16,0.0854948,1.48532e+16
16384,0.2,0.0991103,2.36293e+16,0.114233,2.0501e+16
16384,0.3,0.111541,3.05991e+16,0.142757,2.3908e+16
16384,0.4,0.1188,3.77357e+16,0.170918,2.6229e+16
16384,0.5,0.138798,4.00003e+16,0.196996,2.81831e+16
16384,0.6,0.15596,4.24438e+16,0.217918,3.03761e+16
16384,0.7,0.171049,4.4938e+16,0.24091,3.19065e+16
16384,0.8,0.186461,4.69397e+16,0.263904,3.31652e+16
16384,0.9,0.201225,4.87856e+16,0.287505,3.41452e+16
16384,1,0.216582,5.02354e+16,0.334297,3.25462e+16
16384,1.1,0.280654,4.25536e+16,0.426646,2.79923e+16
16384,1.2,0.502636,2.5873e+16,0.606313,2.14488e+16
16384,1.3,0.396914,3.54368e+16,0.731633,1.92246e+16
16384,1.4,0.62523,2.41882e+16,0.797627,1.89602e+16
16384,1.5,0.8152,1.98518e+16,0.860549,1.88057e+16
16384,1.6,0.885587,1.94684e+16,0.946133,1.82226e+16
16384,1.7,0.911283,2.00787e+16,0.99672,1.83576e+16
16384,1.8,0.948434,2.04031e+16,1.02267,1.89221e+16
16384,1.9,0.985422,2.0707e+16,1.09316,1.86661e+16
16384,2,1.05286,2.03817e+16,1.15102,1.86436e+16
16384,2.1,1.14088,1.97303e+16,1.29524,1.7379e+16
16384,2.2,1.16084,2.02956e+16,1.32378,1.77976e+16
16384,2.3,1.24661,1.9741e+16,1.33488,1.84357e+16
16384,2.4,1.25995,2.03647e+16,1.41844,1.80892e+16
16384,2.5,1.33538,2.00005e+16,1.478,1.80705e+16
16384,2.6,1.46516,1.89422e+16,1.54578,1.79543e+16
16384,2.7,1.48305,1.9419e+16,1.56699,1.83787e+16
16384,2.8,1.53923,1.93875e+16,1.65887,1.79892e+16
16384,2.9,1.55892,1.98128e+16,1.72725,1.7882e+16
16384,3,1.6225,1.96797e+16,1.79197,1.78186e+16
32768,0.1,0.24986,1.87542e+16,0.254739,1.8395e+16
32768,0.2,0.378541,2.37086e+16,0.420202,2.1358e+16
32768,0.3,0.59539,2.22694e+16,0.622084,2.13138e+16
32768,0.4,0.882226,1.988e+16,1.14946,1.52582e+16
32768,0.5,1.13715,1.91841e+16,1.48357,1.47046e+16
32768,0.6,1.34372,1.94136e+16,1.80048,1.44886e+16
32768,0.7,1.55107,1.95693e+16,2.1558,1.40798e+16
32768,0.8,1.78733,1.93667e+16,2.06516,1.67613e+16
32768,0.9,2.00381,1.93998e+16,2.27485,1.70884e+16
32768,1,2.1993,1.96102e+16,2.60917,1.65297e+16
32768,1.1,2.43359,1.94688e+16,2.93039,1.61682e+16
32768,1.2,2.65923,1.94136e+16,3.07018,1.6815e+16
32768,1.3,2.85126,1.95938e+16,3.29547,1.69527e+16
32768,1.4,3.09759,1.94025e+16,3.54453,1.69559e+16
32768,1.5,3.29481,1.95266e+16,3.77244,1.70543e+16
32768,1.6,3.49762,1.96041e+16,4.13281,1.65911e+16
32768,1.7,3.70005,1.9673e+16,4.18413,1.73969e+16
32768,1.8,3.89378,1.97785e+16,4.35219,1.76953e+16
32768,1.9,4.09047,1.98572e+16,4.53388,1.79152e+16
32768,2,4.25598,2.00749e+16,4.75252,1.79775e+16
32768,2.1,4.54459,1.97259e+16,5.01781,1.78655e+16
32768,2.2,4.74143,1.97946e+16,5.19369,1.80709e+16
32768,2.3,4.97718,1.96998e+16,5.43811,1.803e+16
32768,2.4,5.12469,1.9951e+16,5.60588,1.82385e+16
32768,2.5,5.38357,1.97706e+16,5.75344,1.84996e+16
32768,2.6,5.53908,1.99716e+16,5.97735,1.85072e+16
32768,2.7,7.99882,1.43529e+16,6.16733,1.86152e+16
32768,2.8,5.99814,1.98372e+16,6.35115,1.87346e+16
32768,2.9,6.25825,1.968e+16,6.55312,1.87944e+16
32768,3,6.42406,1.98213e+16,6.81346,1.86884e+16
65536,0.1,0.998252,1.79894e+16,1.28417,1.39841e+16
65536,0.2,1.95797,1.79327e+16,2.65199,1.32398e+16
65536,0.3,2.90657,1.79761e+16,3.86514,1.3518e+16
65536,0.4,3.90329,1.7772e+16,4.94104,1.40394e+16
65536,0.5,4.89267,1.76736e+16,5.65765,1.52839e+16
65536,0.6,5.91154,1.75183e+16,6.60085,1.56889e+16
65536,0.7,6.87625,1.75424e+16,7.62525,1.58193e+16
65536,0.8,7.85742,1.75217e+16,8.67843,1.5864e+16
65536,0.9,10.7184,1.44343e+16,9.19248,1.68303e+16
65536,1,9.63904,1.78159e+16,9.84656,1.74404e+16
65536,1.1,10.4308,1.80934e+16,10.8372,1.74148e+16
65536,1.2,11.1925,1.83796e+16,11.6771,1.76168e+16
65536,1.3,11.9559,1.8625e+16,12.3395,1.80459e+16
65536,1.4,12.6703,1.89125e+16,13.0054,1.84252e+16
65536,1.5,13.4338,1.90981e+16,14.0675,1.82378e+16
65536,1.6,14.1113,1.938e+16,14.8256,1.84464e+16
65536,1.7,14.9388,1.94378e+16,15.3856,1.88733e+16
65536,1.8,15.7706,1.94831e+16,18.3927,1.67056e+16
65536,1.9,16.597,1.95292e+16,17.193,1.88522e+16
65536,2,17.3278,1.96774e+16,17.8763,1.90737e+16
65536,2.1,18.081,1.97887e+16,18.9895,1.88419e+16
65536,2.2,18.7191,2.00125e+16,19.9015,1.88235e+16
65536,2.3,19.74,1.98288e+16,20.3017,1.92801e+16
65536,2.4,20.6678,1.97508e+16,21.6679,1.88392e+16
65536,2.5,21.4317,1.98283e+16,22.4273,1.89481e+16
65536,2.6,22.4158,1.97051e+16,22.5401,1.95965e+16
65536,2.7,23.2716,1.96993e+16,23.921,1.91645e+16
65536,2.8,24.1355,1.96867e+16,24.7377,1.92075e+16
65536,2.9,24.8755,1.97724e+16,25.3555,1.93982e+16
65536,3,25.6569,1.98203e+16,28.0299,1.81424e+16
